Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E1,07/03/2023,19:45,Huddersfield,Bristol City,,,,,,,3,3.2,2.4,2.95,3.2,2.45,2.85,3.15,2.4,3.23,3.12,2.52,3,3,2.45,2.9,3,2.38,3.23,3.2,2.55,3.04,3.12,2.44,2.38,1.57,2.47,1.59,2.53,1.62,2.4,1.56,0.25,1.79,2.11,1.8,2.13,1.82,2.14,1.78,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,07/03/2023,20:00,Reading,Sheffield United,,,,,,,4.75,3.6,1.75,4.2,3.7,1.73,4.3,3.65,1.73,4.98,3.88,1.75,4.6,3.6,1.73,4.5,3.6,1.67,5,3.94,1.8,4.7,3.75,1.73,1.98,1.88,1.99,1.9,2.01,1.91,1.95,1.85,0.75,1.94,1.96,1.93,1.98,1.95,2.02,1.9,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,07/03/2023,20:00,West Brom,Wigan,,,,,,,1.57,4,6,1.58,3.9,6,1.55,3.9,6,1.58,4.07,6.45,1.55,3.75,6.5,1.5,3.75,6,1.59,4.1,6.6,1.56,3.95,6.22,2.1,1.73,2.14,1.76,2.21,1.79,2.09,1.73,-1,2.02,1.88,2.03,1.88,2.05,1.9,1.99,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,07/03/2023,19:45,Barnsley,Portsmouth,,,,,,,1.95,3.4,4,2.05,3.25,3.6,2,3.15,3.75,1.98,3.43,4.19,1.95,3.25,4,1.91,3.25,3.75,2.05,3.5,4.2,1.97,3.34,3.95,2.2,1.65,2.26,1.68,2.29,1.7,2.21,1.64,-0.5,1.93,1.93,1.98,1.9,2,1.94,1.95,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,07/03/2023,19:45,Cambridge,Morecambe,,,,,,,2,3.4,4,2,3.3,3.7,2,3.1,3.75,2,3.33,4.26,1.95,3.2,4.2,1.9,3.2,3.8,2.01,3.45,4.3,1.97,3.26,4.01,2.4,1.53,2.42,1.6,2.47,1.65,2.35,1.57,-0.5,1.98,1.88,2,1.88,2.02,1.92,1.96,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,07/03/2023,19:45,Cheltenham,Lincoln,,,,,,,2.55,3,3,2.75,2.95,2.65,2.55,2.8,2.9,2.73,3,3.01,2.55,2.9,3,2.5,2.9,2.8,2.75,3.02,3.01,2.62,2.93,2.92,2.7,1.44,2.78,1.47,2.96,1.48,2.72,1.44,0,1.83,2.02,1.85,2.04,1.87,2.05,1.81,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,07/03/2023,19:45,Ipswich,Accrington,,,,,,,1.2,6.5,15,1.23,6.25,12,1.2,6,13,1.21,6.74,14.53,1.2,6,15,1.17,6,13,1.24,7.1,15.5,1.2,6.43,13.67,1.57,2.35,1.6,2.41,1.63,2.43,1.58,2.34,-1.75,1.8,2.05,1.83,2.05,1.85,2.12,1.79,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,07/03/2023,19:45,Peterboro,Shrewsbury,,,,,,,1.73,3.75,5,1.77,3.6,4.33,1.77,3.4,4.3,1.76,3.69,5.11,1.78,3.4,4.6,1.67,3.5,4.6,1.83,3.75,5.2,1.75,3.58,4.71,2.08,1.73,2.12,1.76,2.16,1.78,2.07,1.73,-0.75,1.95,1.9,2,1.89,2.01,1.94,1.96,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,07/03/2023,19:45,Wycombe,Fleetwood Town,,,,,,,1.8,3.6,4.5,1.77,3.6,4.33,1.83,3.4,4.2,1.81,3.53,5.02,1.83,3.4,4.4,1.73,3.5,4.2,1.83,3.66,5.01,1.8,3.52,4.5,1.98,1.88,2.07,1.82,2.16,1.88,2.01,1.78,-0.75,2.05,1.8,2.06,1.84,2.09,1.86,2.01,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,07/03/2023,20:00,Plymouth,Derby,,,,,,,2.6,3.6,2.55,2.6,3.4,2.55,2.5,3.3,2.5,2.7,3.49,2.66,2.6,3.3,2.6,2.5,3.3,2.5,2.7,3.6,2.67,2.6,3.42,2.58,1.95,1.9,1.98,1.88,2,1.97,1.91,1.87,0,1.93,1.93,1.96,1.93,1.97,1.99,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
