Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,01/02/2023,17:45,Eupen,Genk,1,1,D,1,1,D,,10,14,4,5,15,13,3,7,5,4,0,0,5.5,3.8,1.53,5.25,4.33,1.57,5,4.2,1.57,5.83,4.47,1.56,,,,5.5,4.2,1.53,5.83,4.6,1.59,5.38,4.31,1.55,1.57,2.35,1.6,2.42,1.6,2.43,1.57,2.36,1,1.95,1.9,1.98,1.91,2.03,2,1.91,1.91,5.75,3.8,1.5,5.5,4.33,1.57,5.5,4.2,1.53,6.56,4.27,1.55,5.8,4.2,1.52,6,4.2,1.5,6.56,4.9,1.58,5.78,4.24,1.54,1.67,2.15,1.68,2.27,1.73,2.34,1.65,2.22,1,1.95,1.9,1.97,1.92,2.08,1.96,1.93,1.9
E1,31/01/2023,19:45,Luton,Cardiff,1,0,H,0,0,D,G Eltringham,15,11,4,4,12,7,13,2,3,2,0,0,2,3.4,4.2,1.93,3.3,4.2,1.97,3.2,3.85,2.01,3.39,4.22,1.88,3.2,4.4,1.91,3.2,3.8,2.02,3.45,4.5,1.97,3.32,4.1,2.3,1.62,2.36,1.64,2.38,1.67,2.29,1.62,-0.5,2.01,1.89,2.01,1.89,2.02,1.94,1.96,1.88,2.1,3.25,3.75,2.15,3.2,3.6,2.1,3.15,3.6,2.11,3.32,3.97,2.05,3.1,3.8,2,3.13,3.5,2.18,3.32,4,2.11,3.21,3.7,2.3,1.62,2.35,1.64,2.38,1.66,2.31,1.61,-0.25,1.78,2.13,1.79,2.13,1.83,2.13,1.8,2.05
E2,01/02/2023,19:45,Oxford,Barnsley,1,2,A,0,1,A,L Swabey,16,9,2,5,12,11,10,5,0,4,0,0,2.63,3.4,2.63,2.5,3.4,2.6,2.55,3.2,2.6,2.64,3.41,2.77,2.55,3.25,2.7,2.5,3.3,2.5,2.65,3.42,2.77,2.56,3.34,2.64,1.95,1.9,1.97,1.9,2,1.9,1.91,1.86,0,1.93,1.93,1.9,1.99,1.96,2,1.89,1.92,2.55,3.3,2.8,2.5,3.25,2.7,2.5,3.1,2.65,2.61,3.35,2.84,2.62,3.2,2.62,2.45,3.2,2.63,2.8,3.36,2.84,2.56,3.26,2.71,2.05,1.75,2.1,1.78,2.21,1.83,2.05,1.75,0,1.88,1.98,1.86,2.03,2,2.05,1.85,1.97
E3,31/01/2023,19:45,Carlisle,Barrow,5,1,H,1,0,H,A Kitchen,12,4,9,1,3,10,5,2,2,2,0,0,2.1,3.25,3.75,2.1,3.2,3.5,2.15,3.05,3.35,2.14,3.3,3.81,2.15,3.1,3.5,2.05,3.25,3.3,2.24,3.31,3.81,2.12,3.2,3.55,2.35,1.57,2.43,1.6,2.43,1.62,2.32,1.58,-0.25,1.8,2.05,1.83,2.08,1.85,2.11,1.8,2.01,2.38,3,3.4,2.35,3,3.2,2.3,2.85,3.1,2.44,3.07,3.36,2.35,3,3.25,2.15,3.13,3.13,2.45,3.13,3.55,2.34,2.99,3.25,2.5,1.5,2.55,1.55,2.63,1.56,2.45,1.52,-0.25,2.02,1.83,2.06,1.84,2.07,1.91,2,1.81
E3,31/01/2023,19:45,Crewe,Stockport,1,1,D,1,0,H,T Reeves,16,8,4,3,12,16,8,4,0,2,0,0,5.75,4,1.6,5.25,3.75,1.62,5.25,3.65,1.6,5.97,3.83,1.65,5.8,3.6,1.62,5.25,3.7,1.57,6,4,1.65,5.54,3.75,1.61,2.1,1.77,2.18,1.73,2.18,1.8,2.06,1.73,0.75,2.05,1.8,2.07,1.83,2.08,1.84,2.02,1.79,6,4,1.6,6,3.8,1.55,6,3.65,1.55,6.45,3.85,1.61,6.5,3.7,1.55,5.75,3.8,1.5,6.81,4.16,1.61,6.17,3.87,1.55,2.15,1.67,2.24,1.69,2.24,1.74,2.14,1.67,1,1.77,2.1,1.81,2.09,1.9,2.13,1.81,2
E3,31/01/2023,19:45,Salford,Walsall,1,0,H,1,0,H,D Handley,14,17,2,6,4,17,2,4,3,2,0,0,2.4,3.2,3.1,2.3,3.2,3.1,2.3,3,2.95,2.37,3.19,3.36,2.35,3.1,3.1,2.25,3.2,2.9,2.4,3.22,3.36,2.32,3.13,3.15,2.3,1.6,2.35,1.63,2.35,1.64,2.26,1.61,-0.25,2,1.85,2.01,1.88,2.07,1.88,1.99,1.83,2.45,3,3.2,2.45,3,3,2.4,2.9,2.95,2.55,3.08,3.16,2.5,3,3,2.3,3.13,2.88,2.6,3.2,3.2,2.46,3.03,3.01,2.35,1.57,2.44,1.59,2.44,1.6,2.36,1.56,-0.25,2.15,1.73,2.15,1.77,2.18,1.8,2.1,1.74
EC,31/01/2023,19:45,Aldershot,Boreham Wood,0,1,A,0,0,D,M Russell,,,,,,,,,1,1,0,0,3.1,3.1,2.2,3,3,2.15,3.1,3,2.2,3.28,3.22,2.33,3.2,3,2.2,3,3,2.2,3.28,3.25,2.34,3.11,3.14,2.25,2.25,1.62,2.27,1.65,2.28,1.65,2.22,1.61,0.25,1.83,1.98,1.87,1.99,1.88,2.02,1.83,1.94,3.1,3,2.25,2.9,2.9,2.3,3,2.95,2.3,3.22,3.25,2.35,3,2.9,2.35,2.9,3,2.25,3.22,3.25,2.4,3.05,3.08,2.31,2.35,1.57,2.34,1.61,2.35,1.62,2.27,1.58,0.25,1.83,1.98,1.85,2.01,1.9,2.04,1.8,1.98
EC,31/01/2023,19:45,Eastleigh,Barnet,0,2,A,0,1,A,J Durkin,,,,,,,,,2,3,0,0,2.25,3.4,2.8,2.2,3.3,2.75,2.25,3.2,2.9,2.36,3.32,3.13,2.2,3.2,3,2.2,3.25,2.8,2.36,3.45,3.15,2.26,3.3,2.96,1.88,1.93,1.91,1.93,1.91,1.99,1.85,1.89,-0.25,2,1.8,2.02,1.84,2.06,1.86,1.97,1.81,2.25,3.4,2.8,2.25,3.25,2.7,2.25,3.25,2.8,2.39,3.5,2.93,2.3,3.2,2.8,2.3,3.2,2.7,2.4,3.55,2.93,2.31,3.34,2.83,1.73,2.08,1.76,2.09,1.85,2.12,1.77,1.98,-0.25,2.02,1.77,2.07,1.8,2.2,1.82,2.03,1.76
EC,31/01/2023,19:45,Solihull,Notts County,1,2,A,1,1,D,R Massey-Ellis,,,,,,,,,5,3,0,0,4.75,4.2,1.53,4.75,4,1.53,4.4,4.1,1.6,5.37,4.39,1.57,5.25,3.9,1.52,5,3.9,1.5,5.4,4.5,1.6,5.01,4.23,1.54,1.6,2.3,1.62,2.32,1.62,2.32,1.58,2.27,1,1.85,1.95,1.89,1.95,1.93,2.02,1.85,1.93,4.33,4.2,1.62,4.5,4,1.55,4.4,4.1,1.6,4.93,4.34,1.62,5,3.8,1.57,4.6,3.9,1.55,5,4.5,1.64,4.69,4.15,1.58,1.57,2.35,1.6,2.37,1.6,2.37,1.57,2.3,1,1.77,2.02,1.81,2.06,1.85,2.14,1.79,1.99
EC,31/01/2023,19:45,Woking,Torquay,1,1,D,1,0,H,A Dale,,,,,,,,,1,2,0,0,1.4,4,6.5,1.41,4.2,5.75,1.43,4.2,6,1.45,4.63,6.8,1.44,4,6.5,1.36,4.1,6.5,1.46,4.7,7,1.42,4.42,6.43,1.7,2.1,1.73,2.13,1.73,2.25,1.67,2.11,-1.25,1.98,1.83,2.02,1.84,2.02,1.88,1.96,1.82,1.5,3.8,5.5,1.47,4,5.25,1.53,4,5.25,1.52,4.34,6.09,1.52,3.8,5.5,1.5,3.8,5.25,1.56,4.5,6.5,1.51,4.14,5.6,1.8,2,1.8,2.03,1.81,2.17,1.73,2.03,-1,1.9,1.9,1.89,1.96,2,2,1.87,1.9
