Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Liga Profesional,2023,17/02/2023,21:00,Gimnasia L.P.,Instituto,2,0,H,3.54,2.74,2.68,3.54,3.03,2.68,3.21,2.83,2.53
Argentina,Liga Profesional,2023,18/02/2023,00:30,Arsenal Sarandi,Racing Club,0,3,A,6.56,3.8,1.61,7,4,1.63,6.06,3.76,1.59
Argentina,Liga Profesional,2023,18/02/2023,00:30,Huracan,Barracas Central,2,0,H,1.54,4.03,7.07,1.55,4.2,7.2,1.53,3.97,6.44
Argentina,Liga Profesional,2023,18/02/2023,20:00,Lanus,Rosario Central,3,0,H,2.17,3.09,4.01,2.27,3.17,4.13,2.19,3,3.71
Argentina,Liga Profesional,2023,18/02/2023,21:00,Tigre,River Plate,0,1,A,3.13,3.39,2.39,3.26,3.52,2.48,3.02,3.29,2.34
Argentina,Liga Profesional,2023,18/02/2023,22:15,Argentinos Jrs,Belgrano,3,0,H,1.84,3.36,5.15,1.9,3.45,6,1.8,3.29,4.93
Argentina,Liga Profesional,2023,18/02/2023,22:15,Godoy Cruz,Estudiantes L.P.,0,1,A,2.48,3.12,3.23,2.51,3.35,3.29,2.41,3.12,3.07
Argentina,Liga Profesional,2023,19/02/2023,00:00,Newells Old Boys,Banfield,2,0,H,2.32,2.9,3.89,2.41,3.1,3.81,2.29,2.94,3.5
Argentina,Liga Profesional,2023,19/02/2023,20:00,Union de Santa Fe,Colon Santa Fe,1,1,D,2.25,3.14,3.71,2.27,3.31,4.42,2.17,3.08,3.64
Argentina,Liga Profesional,2023,19/02/2023,22:15,Boca Juniors,Platense,3,1,H,1.82,3.17,5.83,1.83,3.47,5.83,1.78,3.32,5.11
Argentina,Liga Profesional,2023,20/02/2023,00:30,Independiente,Defensa y Justicia,0,2,A,2.15,3.16,3.97,2.15,3.32,4.1,2.09,3.11,3.82
Argentina,Liga Profesional,2023,20/02/2023,00:30,Talleres Cordoba,Central Cordoba,2,0,H,1.63,3.69,6.58,1.65,3.98,7,1.6,3.7,6.07
