Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E1,12/12/2023,19:45,Blackburn,Bristol City,,,,,,,1.91,3.75,3.8,1.95,3.7,3.7,1.97,3.65,3.55,1.98,3.79,3.84,1.95,3.5,3.5,1.93,3.7,3.7,2,3.81,3.88,1.96,3.7,3.7,1.73,2.08,1.77,2.13,1.8,2.16,1.75,2.08,-0.5,1.98,1.92,1.98,1.93,2.01,1.96,1.96,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,12/12/2023,19:45,Huddersfield,Preston,,,,,,,2.63,3.1,2.88,2.65,3.1,2.8,2.6,3,2.85,2.78,2.99,3,2.5,3.1,2.75,2.63,3.1,2.8,2.78,3.16,3,2.67,3.06,2.86,2.5,1.5,2.58,1.55,2.6,1.56,2.48,1.53,0,1.88,2.02,1.88,2.03,1.9,2.05,1.85,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,12/12/2023,19:45,Rotherham,West Brom,,,,,,,5.25,3.8,1.7,5.25,3.7,1.68,4.9,3.6,1.7,5.51,3.76,1.71,5,3.5,1.67,5.25,3.7,1.67,5.51,3.85,1.72,5.28,3.71,1.69,2.05,1.75,2.17,1.75,2.25,1.78,2.12,1.72,0.75,1.98,1.92,1.97,1.93,2,1.95,1.94,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,12/12/2023,19:45,Stoke,Swansea,,,,,,,2.05,3.5,3.6,2.05,3.5,3.4,2.1,3.4,3.35,2.12,3.63,3.56,2,3.3,3.5,2.1,3.5,3.4,2.13,3.65,3.6,2.09,3.51,3.46,1.93,1.93,1.92,1.96,1.93,2,1.89,1.91,-0.25,1.84,2.06,1.83,2.09,1.87,2.09,1.81,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,12/12/2023,19:45,Watford,Ipswich,,,,,,,2.9,3.4,2.45,2.87,3.4,2.4,2.8,3.3,2.45,3.03,3.49,2.43,2.8,3.2,2.4,2.9,3.4,2.38,3.03,3.5,2.47,2.92,3.41,2.41,2,1.85,1.98,1.9,2.04,1.91,1.94,1.85,0.25,1.81,2.09,1.83,2.09,1.83,2.12,1.79,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,12/12/2023,20:00,Sunderland,Leeds,,,,,,,2.8,3.6,2.4,2.8,3.6,2.35,2.75,3.55,2.4,2.88,3.67,2.45,2.75,3.5,2.3,2.75,3.6,2.38,3.23,3.73,2.46,2.83,3.62,2.37,1.7,2.1,1.73,2.19,1.73,2.28,1.69,2.18,0.25,1.75,2.05,1.81,2.13,1.83,2.14,1.78,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,13/12/2023,19:45,Cardiff,Birmingham,,,,,,,1.85,3.8,4,1.9,3.5,4.1,1.85,3.55,4.1,1.9,3.59,4.45,1.85,3.3,4.2,1.83,3.5,4.33,1.91,3.8,4.5,1.87,3.54,4.27,2.08,1.73,2.11,1.79,2.19,1.8,2.1,1.73,-0.5,1.88,2.02,1.9,2.01,1.9,2.06,1.87,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,13/12/2023,19:45,Coventry,Southampton,,,,,,,2.75,3.4,2.55,2.8,3.5,2.4,2.7,3.4,2.5,2.75,3.53,2.62,2.7,3.3,2.45,2.7,3.5,2.5,2.8,3.56,2.62,2.72,3.48,2.53,1.83,2.03,1.81,2.08,1.87,2.1,1.81,1.99,0,2.01,1.89,2,1.91,2.04,1.91,1.99,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,13/12/2023,19:45,Leicester,Millwall,,,,,,,1.36,5,8.5,1.36,5,8.75,1.35,4.9,8.25,1.35,5.31,9.9,1.33,4.5,8.5,1.33,5,9,1.37,5.4,10,1.34,5.05,9.21,1.73,2.08,1.76,2.14,1.81,2.16,1.75,2.07,-1.5,2.06,1.84,2.06,1.85,2.13,1.85,2.03,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,13/12/2023,19:45,Norwich,Sheffield Weds,,,,,,,1.91,3.6,4,1.9,3.5,4,1.95,3.55,3.7,1.97,3.64,4.05,1.91,3.4,3.75,1.9,3.6,3.9,1.98,3.71,4.05,1.95,3.58,3.86,1.98,1.88,1.97,1.92,1.99,1.92,1.93,1.87,-0.5,1.95,1.95,1.97,1.93,1.97,1.97,1.94,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
