Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E2,14/10/2023,15:00,Blackpool,Stevenage,3,0,H,1,0,H,P Howard,14,7,3,3,9,7,6,7,1,3,0,0,2.38,3.3,3,,,,2.3,3.15,2.85,2.45,3.35,3.06,2.3,3.4,2.9,2.38,3.25,3,2.49,3.4,3.1,2.36,3.3,2.96,2.08,1.73,2.11,1.78,2.13,1.8,2.02,1.75,-0.25,2.05,1.8,2.1,1.81,2.1,1.84,2.01,1.78,2.1,3.4,3.5,,,,2.2,3.15,3.25,2.18,3.35,3.57,2.15,3.3,3.3,2.15,3.3,3.4,2.27,3.4,3.63,2.17,3.26,3.39,2.1,1.7,2.22,1.7,2.28,1.73,2.14,1.68,-0.25,1.83,2.03,1.87,2.02,1.92,2.07,1.84,1.95
E2,14/10/2023,15:00,Cambridge,Shrewsbury,1,1,D,0,0,D,S Tallis,10,15,1,2,11,10,4,5,2,1,0,0,2.05,3.4,3.75,2.05,3.4,3.4,2.05,3.2,3.5,2.09,3.4,3.84,2,3.4,3.6,2.05,3.25,3.7,2.09,3.41,3.85,2.04,3.35,3.62,2.1,1.7,2.18,1.72,2.21,1.76,2.08,1.71,-0.5,2.05,1.8,2.09,1.82,2.09,1.82,2.02,1.78,1.95,3.3,4,2,3.2,3.75,2.05,3.1,3.7,2.04,3.29,4.15,1.95,3.3,3.9,2,3.3,3.9,2.06,3.41,4.15,2,3.26,3.87,2.25,1.62,2.37,1.62,2.4,1.66,2.27,1.61,-0.5,2.03,1.83,2.04,1.85,2.05,1.86,1.99,1.8
E2,14/10/2023,15:00,Carlisle,Leyton Orient,0,1,A,0,1,A,E Duckworth,10,12,1,5,6,18,9,3,0,3,0,0,2.55,3.25,2.8,2.37,3.3,2.8,2.4,3.15,2.75,2.66,3.27,2.85,2.45,3.3,2.75,2.55,3.25,2.75,2.66,3.4,2.85,2.51,3.27,2.77,2.08,1.73,2.14,1.75,2.15,1.78,2.04,1.74,0,1.85,2,1.88,2.01,1.88,2.01,1.81,1.97,2.7,3.2,2.63,2.55,3.2,2.7,2.55,3.1,2.55,2.72,3.34,2.73,2.62,3.25,2.6,2.63,3.3,2.63,2.86,3.34,2.85,2.63,3.21,2.67,2.08,1.73,2.12,1.76,2.16,1.77,2.06,1.73,0,1.9,1.95,1.94,1.94,1.94,1.99,1.89,1.9
E2,14/10/2023,15:00,Lincoln,Burton,0,1,A,0,0,D,R Welch,10,6,3,1,8,9,4,4,1,4,1,0,1.95,3.4,4,2,3.4,3.6,2,3.2,3.65,2.05,3.41,3.95,2,3.4,3.7,2.05,3.3,3.8,2.05,3.46,4,1.99,3.37,3.77,2.1,1.7,2.18,1.73,2.19,1.8,2.08,1.71,-0.5,2,1.85,2.05,1.85,2.05,1.85,1.98,1.81,2,3.3,4,1.98,3.2,3.8,2,3.1,3.75,2.07,3.38,3.93,1.95,3.4,3.8,2,3.4,3.8,2.07,3.45,4.2,1.99,3.3,3.86,2.2,1.65,2.28,1.67,2.3,1.68,2.21,1.64,-0.5,2.05,1.8,2.07,1.83,2.07,1.88,1.98,1.81
E3,14/10/2023,12:30,Notts County,Mansfield,1,4,A,1,1,D,S Oldham,9,21,2,9,4,10,5,6,1,1,0,0,2.3,3.5,3,2.1,3.7,3,2.2,3.45,2.95,2.24,3.98,2.98,2.2,3.7,2.9,2.25,3.7,2.9,2.3,3.98,3,2.2,3.71,2.9,1.65,2.2,1.64,2.34,1.65,2.34,1.6,2.24,-0.25,2,1.85,1.97,1.92,2,1.95,1.92,1.84,2.63,3.6,2.5,2.55,3.6,2.45,2.45,3.45,2.5,2.6,3.96,2.53,2.4,3.7,2.6,2.5,3.6,2.6,2.63,3.96,2.91,2.47,3.67,2.57,1.53,2.4,1.55,2.53,1.63,2.53,1.54,2.37,-0.25,2.3,1.6,2.27,1.68,2.3,1.83,2.15,1.67
E3,14/10/2023,15:00,AFC Wimbledon,Bradford,0,1,A,0,0,D,S Simpson,11,7,5,2,13,13,10,4,3,2,0,0,2,3.5,3.75,2,3.4,3.5,2.05,3.25,3.5,2.07,3.44,3.85,2,3.4,3.6,2.05,3.3,3.7,2.07,3.5,3.85,2.01,3.39,3.62,2.05,1.75,2.06,1.82,2.06,1.87,1.98,1.77,-0.5,2.03,1.83,2.07,1.83,2.07,1.83,1.99,1.78,2,3.6,3.6,2,3.4,3.5,2.05,3.25,3.45,2.04,3.48,3.9,2,3.4,3.6,2.05,3.3,3.7,2.07,3.6,4,2.01,3.38,3.64,2,1.8,2.12,1.77,2.12,1.8,2.01,1.75,-0.5,2.05,1.8,2.04,1.85,2.06,1.85,2,1.78
E3,14/10/2023,15:00,Crewe,Tranmere,2,0,H,1,0,H,R Joyce,16,13,4,3,7,10,10,4,3,1,0,2,1.95,3.75,3.75,1.95,3.6,3.5,1.95,3.5,3.5,1.97,3.8,3.79,1.91,3.7,3.6,1.95,3.6,3.7,1.97,3.8,3.79,1.94,3.63,3.62,1.73,2.08,1.74,2.16,1.74,2.16,1.7,2.07,-0.5,1.95,1.9,1.97,1.92,1.97,1.92,1.91,1.85,1.95,3.8,3.6,1.95,3.7,3.5,1.95,3.5,3.5,1.97,3.89,3.69,1.95,3.7,3.5,1.95,3.7,3.6,2,3.89,3.85,1.94,3.66,3.58,1.65,2.2,1.67,2.28,1.75,2.28,1.68,2.11,-0.5,1.98,1.88,1.97,1.92,2,1.93,1.93,1.84
E3,14/10/2023,15:00,Doncaster,Sutton,4,1,H,1,0,H,D Bourne,12,6,5,3,15,10,2,1,2,3,0,0,1.95,3.6,3.8,2,3.5,3.4,2,3.4,3.45,2.1,3.59,3.58,2,3.5,3.5,2,3.6,3.5,2.11,3.6,3.8,2.02,3.51,3.46,1.8,2,1.85,2.02,1.85,2.05,1.77,1.97,-0.5,2,1.85,2.09,1.8,2.09,1.85,1.99,1.79,1.95,3.75,3.75,2,3.5,3.4,2,3.4,3.4,2.02,3.71,3.72,2,3.6,3.5,2,3.6,3.5,2.03,3.75,3.75,1.98,3.58,3.55,1.73,2.08,1.79,2.09,1.81,2.09,1.74,2.02,-0.5,1.98,1.88,2.02,1.88,2.03,1.88,1.96,1.81
E3,14/10/2023,15:00,Forest Green,Colchester,5,0,H,1,0,H,O Yates,14,6,10,1,11,12,5,3,1,1,0,1,2.5,3.5,2.7,2.4,3.5,2.7,2.4,3.3,2.65,2.51,3.59,2.8,2.45,3.5,2.62,2.5,3.4,2.75,2.55,3.59,2.8,2.45,3.45,2.7,1.8,2.05,1.77,2.11,1.87,2.11,1.76,2,0,1.8,2.05,1.84,2.06,1.84,2.06,1.79,1.98,2.45,3.6,2.63,2.45,3.5,2.6,2.4,3.4,2.55,2.53,3.74,2.69,2.4,3.7,2.6,2.5,3.6,2.63,2.53,3.74,2.75,2.45,3.57,2.62,1.6,2.3,1.65,2.32,1.67,2.32,1.61,2.22,0,1.9,1.95,1.88,2,1.95,2,1.83,1.94
E3,14/10/2023,15:00,Grimsby,Accrington,0,2,A,0,0,D,L Smith,11,12,2,2,17,14,9,4,0,2,1,0,2.1,3.4,3.6,2.05,3.5,3.4,2.05,3.25,3.35,2.19,3.54,3.4,2.1,3.5,3.25,2.15,3.4,3.3,2.19,3.6,3.6,2.09,3.46,3.32,1.9,1.95,1.93,1.94,1.93,2,1.84,1.9,-0.25,1.85,2,1.89,2,1.89,2.06,1.81,1.95,2.1,3.4,3.5,2.1,3.4,3.3,2.1,3.25,3.25,2.13,3.63,3.46,2.1,3.5,3.3,2.1,3.5,3.4,2.14,3.63,3.5,2.09,3.46,3.34,1.88,1.98,1.9,1.97,1.97,2.01,1.85,1.89,-0.25,1.83,2.03,1.85,2.05,1.85,2.06,1.8,1.98
