Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Copa De La Liga Profesional,2023,18/10/2023,23:00,Platense,Estudiantes L.P.,2,1,H,3.51,2.87,2.5,3.6,3,2.5,3.33,2.81,2.4
Argentina,Copa De La Liga Profesional,2023,19/10/2023,01:00,Independiente,Barracas Central,3,0,H,1.89,3.18,5.19,1.91,3.4,5.5,1.81,3.16,4.9
Argentina,Copa De La Liga Profesional,2023,19/10/2023,20:00,Gimnasia L.P.,Argentinos Jrs,3,2,H,3.27,3.12,2.49,3.35,3.12,2.49,3.15,3,2.37
Argentina,Copa De La Liga Profesional,2023,19/10/2023,21:00,Godoy Cruz,San Lorenzo,1,0,H,2.26,2.83,4.22,2.36,2.9,4.22,2.18,2.77,3.92
Argentina,Copa De La Liga Profesional,2023,19/10/2023,22:30,Colon Santa Fe,River Plate,2,2,D,3.82,3.73,1.99,4.21,3.78,2.02,3.72,3.52,1.93
Argentina,Copa De La Liga Profesional,2023,20/10/2023,00:45,Rosario Central,Velez Sarsfield,1,1,D,2.99,2.87,2.86,2.99,3.1,2.86,2.78,2.88,2.74
Argentina,Copa De La Liga Profesional,2023,20/10/2023,01:00,Sarmiento Junin,Racing Club,1,1,D,4.05,3.12,2,4.17,3.5,2.06,3.89,3.23,1.97
Brazil,Serie A,2023,18/10/2023,23:00,Gremio,Athletico-PR,1,2,A,2.11,3.33,3.92,2.15,3.48,4.11,2.06,3.28,3.76
Brazil,Serie A,2023,19/10/2023,00:00,America MG,Botafogo RJ,1,2,A,2.9,3.26,2.67,3.03,3.38,2.7,2.84,3.22,2.54
Brazil,Serie A,2023,19/10/2023,00:00,Coritiba,Cuiaba,0,3,A,2.61,2.94,3.29,2.61,3.01,3.5,2.5,2.92,3.19
Brazil,Serie A,2023,19/10/2023,01:30,Bahia,Internacional,1,0,H,2.07,3.37,4.04,2.1,3.45,4.1,2.05,3.28,3.81
Brazil,Serie A,2023,19/10/2023,01:30,Goias,Sao Paulo,2,0,H,3.79,3.19,2.22,3.79,3.21,2.4,3.44,3.1,2.26
Brazil,Serie A,2023,19/10/2023,01:30,Vasco,Fortaleza,1,0,H,2.32,3.19,3.53,2.4,3.3,3.56,2.28,3.16,3.31
Brazil,Serie A,2023,19/10/2023,23:00,Cruzeiro,Flamengo RJ,0,2,A,3.55,3.22,2.3,3.55,3.28,2.37,3.34,3.17,2.26
Brazil,Serie A,2023,19/10/2023,23:00,Palmeiras,Atletico-MG,0,2,A,1.74,3.51,5.87,1.93,3.55,5.87,1.76,3.4,5.18
Brazil,Serie A,2023,20/10/2023,00:00,Santos,Bragantino,1,3,A,3.2,3.39,2.38,3.26,3.47,2.43,3.05,3.3,2.35
Brazil,Serie A,2023,20/10/2023,01:30,Fluminense,Corinthians,3,3,D,1.65,3.9,5.98,1.7,4.1,6.4,1.61,3.81,5.78
China,Super League,2023,19/10/2023,12:35,Meizhou Hakka,Zhejiang Professional,1,1,D,4.49,4.25,1.69,4.77,4.33,1.81,4.3,4.03,1.67
USA,MLS,2023,19/10/2023,01:00,Inter Miami,Charlotte,2,2,D,2.42,3.65,2.94,2.72,3.78,3.05,2.48,3.58,2.66
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
