Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,18/08/2023,19:45,Oud-Heverlee Leuven,Antwerp,1,1,D,0,1,A,,10,13,2,4,16,10,7,7,4,2,1,0,5.25,4,1.62,4.6,4.1,1.68,4.7,4,1.67,4.93,4.24,1.67,,,,4.75,4,1.65,5.25,4.3,1.7,4.66,4.07,1.66,1.62,2.25,1.65,2.32,1.65,2.38,1.61,2.28,0.75,2,1.85,2.04,1.85,2.06,1.9,1.97,1.83,5.75,4.2,1.55,5,4.2,1.63,4.9,4.1,1.65,5.34,4.43,1.6,,,,5.25,4.2,1.55,5.75,4.43,1.7,5.06,4.16,1.6,1.6,2.3,1.61,2.39,1.7,2.39,1.6,2.28,1,1.85,2,1.88,2.01,1.93,2.2,1.81,2.01
B1,19/08/2023,15:00,Standard,Cercle Brugge,0,1,A,0,0,D,,7,16,3,4,10,11,3,2,2,2,0,0,2.9,3.4,2.38,2.85,3.6,2.35,2.85,3.45,2.4,2.94,3.55,2.43,,,,2.88,3.4,2.3,2.94,3.65,2.43,2.85,3.49,2.35,1.7,2.1,1.75,2.15,1.78,2.19,1.71,2.1,0,2.08,1.73,2.14,1.76,2.15,1.83,2.1,1.73,3.4,3.5,2.1,3.3,3.6,2.1,3.2,3.55,2.1,3.5,3.68,2.1,,,,3.25,3.6,2.05,3.5,3.81,2.23,3.26,3.6,2.09,1.7,2.1,1.71,2.21,1.77,2.24,1.68,2.15,0.25,2.05,1.8,2.08,1.83,2.11,1.88,2.01,1.81
B1,19/08/2023,19:45,Mechelen,St. Gilloise,4,0,H,1,0,H,,10,14,7,1,9,10,4,6,0,2,0,0,4.33,3.75,1.75,4.33,4.1,1.73,4.1,3.9,1.77,4.29,4.01,1.81,,,,4.4,3.8,1.73,4.4,4.1,1.81,4.2,3.93,1.75,1.62,2.25,1.66,2.29,1.66,2.31,1.62,2.25,0.75,1.85,2,1.87,2.03,1.94,2.04,1.86,1.94,4.75,3.8,1.7,4.5,4.1,1.7,4.3,3.95,1.7,4.46,4.24,1.74,,,,4.6,4,1.67,5.2,4.3,1.74,4.44,4.02,1.7,1.62,2.25,1.65,2.3,1.69,2.36,1.63,2.24,0.75,1.95,1.9,1.95,1.93,2.04,1.96,1.95,1.86
B1,20/08/2023,12:30,Anderlecht,Westerlo,2,1,H,1,0,H,,24,18,7,3,7,13,6,2,1,3,0,0,1.83,3.75,4,1.85,3.9,3.8,1.9,3.75,3.75,1.92,3.59,4.13,,,,1.87,3.6,3.9,1.95,3.95,4.2,1.87,3.69,3.86,1.65,2.2,1.67,2.23,1.68,2.33,1.64,2.21,-0.5,1.88,1.98,1.93,1.95,1.93,2.08,1.86,1.95,1.67,4,4.75,1.68,4,4.75,1.67,3.95,4.6,1.72,3.91,5.04,,,,1.7,3.8,4.5,1.76,4.15,5.2,1.69,3.86,4.75,1.62,2.25,1.64,2.33,1.69,2.38,1.62,2.26,-0.75,1.9,1.95,1.91,1.98,1.95,2.15,1.87,1.94
B1,20/08/2023,15:00,Genk,Charleroi,0,0,D,0,0,D,,23,7,7,3,11,13,11,4,0,0,0,0,1.53,4.2,5.5,1.57,4.4,5.25,1.57,4.3,5.25,1.59,4.53,5.02,,,,1.53,4.2,5.5,1.61,4.6,5.6,1.56,4.37,5.19,1.53,2.4,1.56,2.48,1.57,2.5,1.54,2.42,-1,1.95,1.9,1.98,1.87,1.98,1.97,1.91,1.89,1.6,4,5.25,1.58,4.33,5,1.6,4.2,4.9,1.59,4.57,5.25,,,,1.55,4.33,5.25,1.63,4.6,5.77,1.58,4.28,5.08,1.57,2.35,1.57,2.5,1.61,2.5,1.55,2.4,-1,1.95,1.9,1.99,1.9,2.01,1.98,1.94,1.87
B1,20/08/2023,15:00,Gent,St Truiden,2,2,D,1,2,A,,19,14,5,3,11,9,7,2,2,2,0,0,1.4,4.75,7.5,1.42,4.75,7.25,1.43,4.7,7,1.44,4.89,6.52,,,,1.4,4.6,8,1.45,5.1,7.5,1.41,4.71,6.99,1.73,2.08,1.72,2.14,1.82,2.17,1.73,2.09,-1.25,1.95,1.9,1.98,1.88,2,1.96,1.93,1.88,1.53,4.33,6,1.53,4.33,6,1.5,4.3,6,1.52,4.45,6.41,,,,1.5,4.2,6.5,1.57,4.5,6.5,1.51,4.27,6.12,1.8,2.05,1.83,2.05,1.9,2.12,1.78,2.02,-1,1.88,1.98,1.89,1.99,1.94,2.01,1.85,1.97
B1,20/08/2023,17:30,Club Brugge,RWD Molenbeek,7,1,H,2,1,H,,23,9,9,3,10,12,8,3,0,1,0,0,1.29,5.75,9.5,1.27,6,9.75,1.27,6,9,1.29,5.77,9.29,,,,1.29,5.5,10,1.31,6.25,10.5,1.28,5.78,9.33,1.44,2.7,1.48,2.62,1.49,2.85,1.44,2.69,-1.5,1.8,2.05,1.8,2.03,1.87,2.14,1.78,2.05,1.3,5.75,8.5,1.31,5.75,8.5,1.3,6,8.25,1.3,5.99,9.04,,,,1.25,6,9.5,1.32,6.25,9.5,1.29,5.85,8.66,1.4,2.88,1.41,2.94,1.42,3.22,1.39,2.9,-1.5,1.8,2,1.82,2.05,1.87,2.15,1.8,2.02
B1,20/08/2023,18:15,Kortrijk,Eupen,1,3,A,0,0,D,,13,15,4,8,15,15,5,9,5,4,1,0,2.25,3.5,3,2.25,3.6,2.95,2.25,3.5,2.95,2.33,3.77,2.85,,,,2.3,3.4,2.9,2.35,3.78,3.05,2.27,3.58,2.89,1.62,2.25,1.64,2.29,1.64,2.38,1.61,2.26,-0.25,2,1.85,2.04,1.83,2.06,1.92,1.97,1.83,2.15,3.4,3.25,2.2,3.5,3.2,2.2,3.45,3.15,2.2,3.62,3.29,,,,2.15,3.6,3.1,2.23,3.8,3.37,2.15,3.52,3.17,1.7,2.1,1.74,2.16,1.77,2.28,1.68,2.15,-0.25,1.9,1.95,1.91,1.98,1.97,2.02,1.87,1.94
D1,18/08/2023,19:30,Werder Bremen,Bayern Munich,0,4,A,0,1,A,,6,25,1,10,16,11,0,6,2,1,0,0,7.5,6.5,1.3,8,6,1.31,7,5.25,1.4,8.59,6.36,1.33,8,5.5,1.22,9,6,1.3,9.5,6.5,1.4,8.5,6.09,1.32,1.33,3.4,1.35,3.41,1.37,3.55,1.33,3.34,1.75,1.87,2.06,1.84,2.07,,,1.84,2.01,8.5,6,1.3,8.5,6,1.3,7,5.25,1.4,8.8,6.3,1.31,8,5.5,1.22,9.5,6,1.29,9.5,6.5,1.4,8.69,6.05,1.31,1.36,3.2,1.34,3.38,1.4,3.58,1.34,3.29,1.75,1.85,2.08,1.88,2.03,1.92,2.09,1.85,2
D1,19/08/2023,14:30,Augsburg,M'gladbach,4,4,D,3,3,D,,20,9,8,6,9,14,8,7,1,2,0,0,2.7,3.6,2.45,2.7,3.5,2.45,2.75,3.6,2.45,2.74,3.78,2.51,2.5,3.4,2.3,2.7,3.7,2.45,2.8,3.88,2.54,2.72,3.69,2.47,1.62,2.3,1.63,2.39,1.66,2.43,1.61,2.34,0,2.03,1.87,2.04,1.87,2.07,1.9,2.02,1.84,2.8,3.6,2.38,2.75,3.6,2.4,2.75,3.65,2.45,2.92,3.72,2.43,2.5,3.4,2.3,2.75,3.75,2.38,2.92,3.87,2.51,2.79,3.67,2.42,1.62,2.3,1.67,2.33,1.67,2.4,1.62,2.31,0.25,1.82,2.11,1.83,2.11,1.83,2.18,1.77,2.09
D1,19/08/2023,14:30,Hoffenheim,Freiburg,1,2,A,0,2,A,,24,17,5,8,9,9,4,2,0,1,0,0,2.3,3.6,2.9,2.25,3.5,3.1,2.3,3.55,2.95,2.43,3.67,2.92,2.1,3.4,2.8,2.38,3.6,2.88,2.5,3.85,3.1,2.35,3.63,2.94,1.67,2.2,1.67,2.3,1.71,2.32,1.66,2.24,-0.25,2.06,1.84,2.11,1.82,2.11,1.88,2.03,1.82,2.15,3.6,3.1,2.2,3.6,3.1,2.25,3.6,3,2.2,3.74,3.32,2.1,3.4,2.8,2.15,3.75,3.13,2.3,3.87,3.32,2.2,3.68,3.15,1.67,2.2,1.69,2.28,1.7,2.36,1.65,2.26,-0.25,1.91,2.02,1.92,2.01,1.98,2.02,1.91,1.95
D1,19/08/2023,14:30,Leverkusen,RB Leipzig,3,2,H,2,1,H,,11,13,7,6,13,10,4,5,1,2,0,0,2.45,3.6,2.75,2.45,3.6,2.7,2.5,3.55,2.7,2.5,3.61,2.85,2.3,3.25,2.6,2.45,3.6,2.75,2.56,3.75,2.91,2.47,3.62,2.78,1.67,2.2,1.7,2.24,1.77,2.28,1.68,2.2,0,1.83,2.07,1.83,2.09,1.89,2.11,1.82,2.05,2.38,3.6,2.8,2.37,3.5,2.8,2.5,3.6,2.7,2.48,3.63,2.98,2.3,3.25,2.6,2.4,3.6,2.8,2.5,3.78,2.99,2.44,3.6,2.81,1.67,2.2,1.74,2.2,1.75,2.32,1.68,2.19,-0.25,2.11,1.82,2.14,1.84,2.14,1.84,2.09,1.78
D1,19/08/2023,14:30,Stuttgart,Bochum,5,0,H,2,0,H,,19,4,9,1,5,12,7,0,1,1,0,0,1.65,4.33,4.5,1.68,4,4.75,1.7,4.1,4.5,1.7,4.25,4.78,1.57,3.9,4.33,1.7,4.1,4.6,1.77,4.4,5,1.69,4.17,4.69,1.62,2.3,1.66,2.32,1.71,2.38,1.64,2.29,-0.75,1.88,2.02,1.89,2.01,1.95,2.04,1.86,1.98,1.73,4.2,4.2,1.77,3.9,4.2,1.77,4.1,4.2,1.78,4.16,4.52,1.67,3.6,4,1.73,4.1,4.33,1.85,4.2,4.52,1.76,4.02,4.32,1.62,2.3,1.67,2.33,1.7,2.35,1.64,2.26,-0.75,1.98,1.95,1.99,1.93,2.06,1.96,1.95,1.89
D1,19/08/2023,14:30,Wolfsburg,Heidenheim,2,0,H,2,0,H,,18,13,8,1,10,9,1,7,3,0,0,0,1.6,4.2,5.25,1.61,4.2,5.25,1.63,4.2,5.25,1.62,4.49,5.24,1.5,4,4.75,1.6,4.4,5,1.66,4.6,5.5,1.62,4.31,5.19,1.62,2.3,1.63,2.39,1.66,2.44,1.61,2.34,-1,2.03,1.87,2.03,1.88,2.07,1.88,2.01,1.84,1.62,4.2,5,1.65,4.1,4.8,1.65,4.2,4.9,1.66,4.42,5.16,1.5,4,4.75,1.62,4.33,5,1.69,4.5,5.25,1.64,4.28,5.03,1.57,2.38,1.6,2.49,1.67,2.49,1.59,2.39,-1,2.13,1.81,2.1,1.82,2.14,1.85,2.07,1.8
D1,19/08/2023,17:30,Dortmund,FC Koln,1,0,H,0,0,D,,12,11,2,4,13,11,6,3,1,0,0,0,1.4,5,7,1.41,5,7,1.43,4.9,7,1.41,5.42,7.25,1.33,4.75,6,1.4,5.25,7,1.44,5.6,8,1.4,5.21,7.24,1.44,2.75,1.43,2.91,1.45,3,1.43,2.83,-1.25,1.83,2.07,1.85,2.07,1.87,2.09,1.82,2.03,1.45,5,6,1.47,4.8,5.75,1.47,5,6,1.51,4.98,6.21,1.36,4.5,5.8,1.44,5,6.5,1.53,5.3,7,1.46,4.95,6.33,1.44,2.75,1.47,2.81,1.5,2.93,1.46,2.73,-1.25,2.06,1.87,2.06,1.87,2.06,1.95,1.96,1.89
D1,20/08/2023,14:30,Union Berlin,Mainz,4,1,H,2,0,H,,12,9,7,3,15,16,3,1,1,5,0,0,1.95,3.5,3.9,1.98,3.4,4,1.97,3.45,3.85,2.02,3.5,4.02,1.85,3.3,3.6,2,3.5,3.8,2.06,3.63,4.1,2.01,3.45,3.92,2.1,1.73,2.14,1.76,2.16,1.82,2.1,1.75,-0.5,2.02,1.88,2.02,1.88,2.05,1.91,2.01,1.85,2.15,3.4,3.5,2.2,3.2,3.4,2.15,3.35,3.5,2.24,3.29,3.68,1.95,3.1,3.4,1.93,3.4,3.7,2.25,3.5,3.93,2.15,3.32,3.61,2.2,1.67,2.27,1.7,2.31,1.84,2.19,1.7,-0.25,1.91,2.02,1.9,2.02,1.93,2.12,1.84,2.02
D1,20/08/2023,16:30,Ein Frankfurt,Darmstadt,1,0,H,1,0,H,,10,11,4,2,9,14,7,3,2,3,0,0,1.36,5.25,7.5,1.38,4.8,8,1.4,4.9,7.5,1.4,5.42,7.44,1.3,4.5,7.5,1.36,5,8.5,1.43,5.6,8.5,1.39,5.12,7.82,1.67,2.2,1.69,2.26,1.71,2.33,1.67,2.23,-1.25,1.86,2.04,1.87,2.04,1.9,2.05,1.85,2,1.45,5,5.75,1.49,4.5,6,1.5,4.5,6,1.49,4.78,6.68,1.35,4.33,6.5,1.4,4.75,7.5,1.52,5.16,7.5,1.48,4.69,6.5,1.67,2.2,1.67,2.32,1.69,2.45,1.62,2.31,-1.25,2.11,1.82,2.09,1.85,2.13,1.89,2.04,1.82
D2,18/08/2023,17:30,Kaiserslautern,Elversberg,3,2,H,1,0,H,,20,21,8,9,11,12,4,6,3,1,0,0,2.25,3.5,3.1,2.25,3.6,3,2.25,3.45,3.05,2.32,3.65,3.09,2.15,3.25,2.8,2.2,3.6,2.9,2.32,3.7,3.1,2.24,3.55,2.98,1.65,2.2,1.69,2.26,1.7,2.29,1.66,2.18,-0.25,1.98,1.88,2.02,1.89,2.02,1.92,1.95,1.86,2.2,3.6,3.2,2.2,3.6,3,2.25,3.5,3.05,2.25,3.7,3.19,2.15,3.25,2.8,2.15,3.6,3,2.25,3.7,3.36,2.19,3.56,3.06,1.62,2.25,1.67,2.3,1.69,2.34,1.64,2.22,-0.25,1.93,1.93,1.96,1.94,1.99,1.98,1.89,1.92
D2,18/08/2023,17:30,Wehen,Karlsruhe,1,0,H,1,0,H,,11,15,4,7,14,2,2,7,3,1,0,0,3.1,3.5,2.25,2.95,3.7,2.25,2.95,3.65,2.25,3.07,3.82,2.27,3,3.5,2,2.88,3.7,2.2,3.1,3.85,2.29,2.95,3.66,2.22,1.57,2.35,1.6,2.45,1.6,2.49,1.56,2.37,0.25,1.9,1.95,1.93,1.98,1.95,2.02,1.87,1.93,2.8,3.4,2.4,2.65,3.6,2.45,2.7,3.6,2.45,2.83,3.65,2.5,2.6,3.4,2.25,2.63,3.6,2.38,2.87,3.78,2.5,2.74,3.55,2.39,1.6,2.3,1.62,2.41,1.63,2.49,1.57,2.36,0,2.05,1.8,2.08,1.84,2.11,1.86,2.05,1.78
